city,longitude,latitude,contribution_diversity,contribution_num_people
Alessandria,8.617,44.9,-0.4882612624281612,-0.014242045138549098
Amiens,2.3,49.9,-0.6416035608650267,-0.1043120614494352
Aquila (L'Aquila),13.37,42.35,-0.7394986891614045,0.5030790482715527
Arezzo,11.883,43.417,-0.8922507773703126,0.17702426825738024
Arras (Atrecht),2.783,50.283,-0.5695362149583831,-0.10893999643699372
Ascoli Piceno,13.567,42.85,-0.6750552734063421,0.18834468319648567
Asti,8.2,44.9,-0.5647303116162519,0.2560408870484851
Augsburg,10.883,48.367,-0.8940826291991751,0.2709361391918098
Aversa,14.2,40.967,-0.5393593534062429,0.16699248935939837
Baeza (Bayyasa),-3.467,37.983,-0.8250193789852295,-0.5149185456093432
Bamberg,10.867,49.867,-0.8297906819760085,0.1500862297830097
Barcelona (Barshaluna),2.183,41.383,-0.5204617477908583,-0.21305110129743757
Basel,7.6,47.567,-0.7791076189336701,0.5056735803634302
Bath,-2.366,51.378,-0.7202426156775654,0.5294518333927777
Beauvais,2.083,49.433,-0.7798010504644067,-0.3978342948196255
Bergamo,9.717,45.683,-0.7562234796995837,-0.13019134076085526
Bern,7.467,46.917,-0.8272561109893879,0.3962267060335565
Besancon,6.033,47.25,-0.7109039387254753,0.5591622048619187
Beziers,3.25,43.35,-0.532197426253931,-0.1815666489317256
Blois,1.333,47.583,-0.8807943795381508,0.04873396706306692
Bologna,11.333,44.483,-0.7076201446100319,0.08302035576781028
Bonn,7.1,50.733,-0.6397102110051274,-0.3268741211609423
Boulogne,1.62,50.72,-0.6424540955314048,-0.1304331557631119
Braga,-8.433,41.55,-0.8073800171922494,-0.1544115282357796
Bremen,8.8,53.083,-0.5453012330190965,0.07428429299497154
Brescia,10.25,45.55,-0.7966214400804247,-0.14520999114415517
Buda,19.033,47.5,-0.6630992845750635,0.16475306467236792
Burgos (Burghush),-3.7,42.35,-0.7515201354879625,-0.061393629356631674
Caen,-0.35,49.183,-0.8005375547478997,-0.4617361518993014
Caltanisetta,14.067,37.483,-0.5999762826950177,-0.291070446303905
Carcassonne,2.35,43.217,-0.5706493625939913,-0.07179712303773045
Casale,8.45,45.133,-0.47600329809981706,0.020994753340960823
Catania,15.1,37.5,-0.5673360798142497,-0.20009619095482284
Chalons-sur-Marne,4.367,48.95,-0.8137454561155033,-0.142815941553979
Chambery,5.9,45.6,-0.6869004579589016,0.21213792360318154
Chatham,0.535,51.361,-0.7451190931378037,0.19933143115128185
Chivasso,7.883,45.183,-0.5594992973125175,0.1165048413532347
Clermont-Ferrand,3.083,45.783,-0.6793951438532309,0.4622695916192873
Coimbra Kulumriyya),-8.417,40.2,-0.8152153461887586,-0.21721677978917167
Colchester,0.9,51.892,-0.8119606242171152,0.17691774424803922
Como,9.083,45.783,-0.6411919594470576,0.0281011543531341
Cosenza,16.25,39.3,-0.507419617873009,-0.20710931257969797
Cremona,10.033,45.117,-0.7719713207504622,-0.10749914704242233
Dresden,13.75,51.05,-0.7399864118053296,0.26575820724232696
Dublin,-6.25,53.333,-0.7089666915656351,0.5670283078583669
Edinburgh,-3.161,55.949,-0.6772638161931657,0.16060705963961716
Erfurt,11.033,50.983,-0.7135692201567997,0.5511001917539917
Faenza,11.883,44.283,-0.8879161975552147,-0.0019258014792339192
Ferrara,11.583,44.833,-0.8483313283352855,0.025290068397843982
Firenze,11.25,43.767,-0.8258393919185129,0.21383638129759122
Flensburg,9.433,54.783,-0.6444492406067355,-0.017220174369644323
Forli,12.053,44.224,-0.8959991341861103,0.03064539479588527
"Geneve (Geneva, Genf)",6.167,46.2,-0.7395719509599931,0.4179490037185672
Genova,8.95,44.417,-0.5288397750316356,-0.20957648351091235
Gerona (Djarunda),2.817,41.983,-0.6234345484595422,-0.26958083920761544
Glasgow,-4.245,55.862,-0.7500140804219281,0.16845576275924362
Gotha,10.717,50.95,-0.7411525171046931,0.29800908726953235
Granada (Gharnata),-3.6,37.183,-0.7315290961626346,-0.41479747458156213
Groningen,6.55,53.217,-0.6585951088435095,-0.04838772692617526
Haarlem,4.65,52.367,-0.5895523993209514,-0.09882018143387332
Hannover,9.717,52.367,-0.6621185338154992,0.3382038802571116
Hildesheim,9.967,52.15,-0.6747889231882843,0.32767993830064956
Ipswich,1.158,52.056,-0.7714744218320827,0.08720909927502556
Issoudin,2.0,46.95,-0.6612483252152737,0.14339853990278692
Jihlava (Iglau),15.583,49.4,-0.7853090942698534,0.1365618591414868
Kassel,9.5,51.317,-0.6912471057157893,0.2391405272636527
"Kobenhaven (Copenhagen, Kopenhagen)",12.583,55.667,-0.6735197536564025,0.2394032236119464
Koeln,6.95,50.933,-0.6225355875421117,0.04145993396679765
Krakow (Krakau),19.917,50.083,-0.6014212870747705,0.006425860877348273
Lanciano,14.383,42.233,-0.647125607047761,0.4648306247309373
Laon,3.617,49.567,-0.6185720761164665,-0.25955745252475226
"Leuven (Loewen, Louvain)",4.7,50.883,-0.5929209737189683,-0.2382317213772633
"Liege (Luik, Luettich)",5.567,50.633,-0.5905308332933631,-0.05747925789268004
Limoges,1.25,45.85,-0.6766924628339245,0.2230284767868746
Linz,14.3,48.3,-0.8170200310216177,-0.05210257242098184
"Lisboa (Lisbon, Lissabon, Al Ushbuna)",-9.133,38.717,-0.7383837217415089,-0.16722584888690872
London,-0.105,51.517,-0.7414761175935496,0.4785676111283161
Lucca,10.483,43.833,-0.8878155819447373,0.131187210730596
Lueneburg,10.4,53.25,-0.6410070308440659,0.30273652721242433
Luneville,6.5,48.6,-0.7255698917216044,0.12910665008839997
Lyon,4.85,45.75,-0.7336964761252279,0.5046786680488473
Maastricht,5.683,50.85,-0.6401081161205603,-0.10681493496113996
Macon,4.833,46.3,-0.7398141747998835,0.21593306893271413
Madrid (Madjrit),-3.683,40.4,-0.6388245906960045,-0.30492857019835434
Mainz,8.273,49.998,-0.6210624242426647,-0.03351026211597769
Mantua,10.8,45.15,-0.8079818757318186,-0.2580262800133477
Melfi,15.65,41.0,-0.4971588217586242,0.053933532380969006
Messina,15.567,38.183,-0.5539467661427604,-0.15071678300881045
Milano,9.2,45.467,-0.5475237394056379,0.029480039053325476
Mondovi,7.817,44.383,-0.5585344398123739,0.12022281314676327
Mons (Bergen),3.933,50.45,-0.6017504842706707,-0.1926373686481244
Montpellier,3.883,43.6,-0.49470028890614554,-0.10938117303672915
Monza,9.267,45.583,-0.6960881457391316,-0.11508755927466462
Muenchen,11.583,48.15,-0.8639733004110076,0.1974324512154286
Namur (Namen),4.867,50.467,-0.6244465792650267,-0.2601193414559888
Nantes,-1.55,47.217,-0.5979330267056179,0.10680851309038916
Nijmegen,5.867,51.833,-0.638458888002902,-0.22276899632500347
Nimes,4.35,43.833,-0.5238901808925233,-0.15536745273243754
Norwich,1.303,52.628,-0.8476674874881371,0.34902555430247884
Nottingham,-1.159,52.968,-0.7169064001089511,0.39194969805237134
Novara,8.633,45.467,-0.6489546440813473,0.15016236977923564
Nuernberg,11.083,49.45,-0.7515163782958585,0.053040382895248143
Olomouc (Olmuetz),17.25,49.583,-0.7561820214586615,0.028974392741227564
Oxford,-1.254,51.754,-0.8003729042715987,0.3192865748075087
Padova (Padua),11.883,45.417,-0.8748203292896252,-0.09429442293668662
Palermo (Balarm),13.367,38.117,-0.5079428265838926,-0.1257514829652797
Palma,2.65,39.567,-0.6661107717277083,-0.26709260430467435
Paris,2.333,48.867,-0.6448900678782807,-0.14949734414906862
Parma,10.333,44.8,-0.824730721320683,-0.20386220580161168
Pavia,9.167,45.167,-0.5693958230446668,-0.2082575205304861
Perugia,12.367,43.133,-0.8148370280539462,0.45014602899353723
Piacenza,9.667,45.017,-0.7290508470511096,-0.26275530875505637
Pisa,10.383,43.717,-0.9004239264079786,0.13399600413210958
Pistoia,10.9,43.917,-0.9109140271127146,-0.014466511634701775
Poitiers,0.333,46.583,-0.6919912349789722,0.4658965505448799
Poznan (Posen),16.967,52.417,-0.8213451405088238,0.10125361468758687
"Praha (Prag, Prague)",14.467,50.083,-0.650363634879551,0.31798270908638043
Prato,11.1,43.883,-0.9368621605758081,0.09089273295486876
Provins,3.3,48.55,-0.7990492761391506,-0.16874458544006746
Quedlinburg,11.15,51.783,-0.7363789819750736,0.41071119715741716
Reading,-0.971,51.455,-0.8348421479789057,0.35729019747602503
Regensburg,12.1,49.017,-0.8513645921154387,0.14233005992556422
Reims,4.033,49.25,-0.8233768928424813,0.01769506041340068
Roma,12.483,41.9,-0.7575431124776829,0.36302922402344534
Rouen,1.083,49.433,-0.7556125863465714,-0.21979948571043892
Salerno,14.783,40.683,-0.5154932366985804,0.31668916388988466
Saluzzo,7.483,44.65,-0.5215723875988227,0.1619343494792285
Savona,8.5,44.283,-0.5531260756189116,-0.031112291236448802
"Sevilla(Seville, Ishbiliya)",-5.987,37.377,-0.7357187273214841,-0.4504282284379781
Shrewsbury,-2.748,52.707,-0.7692645528628714,0.49888534204213325
Siena,11.35,43.317,-0.8764000082844107,0.257989325241971
Soest,8.117,51.583,-0.6623897790965688,0.272487590693593
Spoleto,12.733,42.733,-0.7776266301435845,0.1471052022883648
St-Jean-d'Angely,-0.517,45.95,-0.7238575071712845,0.15720814894325535
Stralsund,13.1,54.3,-0.6488485059318599,0.26659604715721286
Strasbourg (Strassburg),7.75,48.583,-0.7679941125583837,0.49165984789255696
Stuttgart,9.183,48.767,-0.7746550189820326,0.0694626913086959
Toledo,-4.017,39.867,-0.6377565347627472,-0.28646185443020683
Torino,7.667,45.05,-0.5310085966903567,0.36519655553656827
Toulouse,1.433,43.6,-0.4834947344703406,0.001965935745054294
Tournai (Doornik),3.383,50.6,-0.6162415098420295,-0.24641013382644197
Tours,0.683,47.383,-0.7215072208499824,0.37905287591281667
Treviso,12.245,45.667,-0.9282665352477258,-0.17331139298391923
Trier,6.633,49.75,-0.6144367791175461,0.09861855090877912
Troyes,4.083,48.3,-0.7686513737771913,-0.04884656521513074
Ulm,10.05,48.567,-0.8903197643183102,0.24550727209055306
Valencia (Balansiya),-0.367,39.467,-0.681969310782745,-0.3165691670010538
Velletri,12.783,41.683,-0.7619542244834355,0.13565035310425105
Venezia,12.327,45.439,-0.8134352813927783,-0.07864701068329545
Vercelli,8.417,45.317,-0.5022293716665467,0.2352404702412017
Verona,11.0,45.45,-0.8172519220651527,-0.2221667604586721
Vigevano,8.85,45.317,-0.6679732639424225,0.08100031221829074
Villefranche-de-Rouergue,2.05,44.35,-0.5759658961467399,-0.09964092710016438
Viterbo,12.1,42.417,-0.8587929582863586,0.4075361218494057
Wien (Vienna),16.367,48.2,-0.6240593423076304,0.1454851064103749
Winchester,-1.308,51.062,-0.8581857061221763,0.39202080536605
Worcester,-2.212,52.197,-0.7682299643406242,0.6599520249027458
Worms,8.36,49.636,-0.7503324481241253,0.11406992109865745
Wuerzburg,9.949,49.797,-0.7950739922283798,0.20259496274016975
York,-1.093,53.956,-0.7701137269615004,0.47694427988742083
Zamora,-5.75,41.5,-0.7514188346083154,-0.03916217568012207
"Zaragoza (Sarakusta, Saragossa)",-0.883,41.633,-0.8123412411592833,-0.27755762987477406
Zuerich,8.55,47.367,-0.8565546034400419,0.5236352450449082
lorient,-3.37,47.75,-0.6194216241174807,-0.23423723689855763
s Gravenhage,4.3,52.083,-0.5815407421176387,-0.1567482737007976
